company_name,ticker,index
"SERVICENOW, INC.",NOW,MSCI World
"ALTRIA GROUP, INC.",MO,MSCI World
"MITSUBISHI HEAVY INDUSTRIES, LTD.",7011.T,MSCI World
ZURICH INSURANCE GROUP LTD,ZURN.SW,MSCI World
AGNICO EAGLE MINES LIMITED,AEM,MSCI World
BANK OF MONTREAL,BMO,MSCI World
"CROWDSTRIKE HOLDINGS, INC.",CRWD,MSCI World
TRANE TECHNOLOGIES PLC,TT,MSCI World
BP PLC,BP,MSCI World
"UNITED PARCEL SERVICE, INC.",UPS,MSCI World
NORTHROP GRUMMAN CORPORATION,NOC,MSCI World
ATLAS COPCO AB,ATLCY,MSCI World
CONSTELLATION ENERGY CORPORATION,CEG,MSCI World
SOUTHERN COMPANY,SO,MSCI World
"MITSUI & CO., LTD.",8031.T,MSCI World
GENERAL DYNAMICS CORPORATION,GD,MSCI World
WESTERN DIGITAL CORPORATION,WDC,MSCI World
WESTPAC BANKING CORPORATION,WEBNF,MSCI World
"INTERCONTINENTAL EXCHANGE, INC.",ICE,MSCI World
CVS HEALTH CORPORATION,CVS,MSCI World
THE BANK OF NOVA SCOTIA,BNS,MSCI World
KKR & CO. INC.,KKR,MSCI World
NATIONAL AUSTRALIA BANK LIMITED,NABPF.AX,MSCI World
DUKE ENERGY CORPORATION,DUK,MSCI World
AXA,AXTA,MSCI World
ROYAL CARIBBEAN GROUP,RCL,MSCI World
ITOCHU CORPORATION,8001.T,MSCI World
SEAGATE TECHNOLOGY HOLDINGS PLC,STX,MSCI World
"NIKE, INC.",NKE,MSCI World
BARCLAYS PLC,BCS,MSCI World
"CAIXABANK, S.A.",CABK.MC,MSCI World
FREEPORT-MCMORAN INC.,FCX,MSCI World
"AUTOMATIC DATA PROCESSING, INC.",ADP,MSCI World
HOWMET AEROSPACE INC.,HWM,MSCI World
RHEINMETALL AG,RHM.DE,MSCI World
EMERSON ELECTRIC CO.,EMR,MSCI World
3M COMPANY,MMM,MSCI World
"MARRIOTT INTERNATIONAL, INC.",MAR,MSCI World
THE SHERWIN-WILLIAMS COMPANY,SHW,MSCI World
ING GROEP N.V.,ING,MSCI World
BANK OF NEW YORK MELLON CORPORATION (THE),BK,MSCI World
VINCI,VINP,MSCI World
NATIONAL GRID PLC,NGG,MSCI World
KEYENCE CORPORATION,6861.T,MSCI World
FEDEX CORPORATION,FDX,MSCI World
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,MSCI World
CRH PLC,CRH,MSCI World
ILLINOIS TOOL WORKS INC.,ITW,MSCI World
"EQUINIX, INC.",EQIX,MSCI World
"SYNOPSYS, INC.",SNPS,MSCI World
LLOYDS BANKING GROUP PLC,LYG,MSCI World
CUMMINS INC.,CMI,MSCI World
MARSH & MCLENNAN COMPANIES,MRSH,MSCI World
BROOKFIELD ASSET MANAGEMENT LTD.,BAM,MSCI World
"WILLIAMS COMPANIES, INC.",WMB,MSCI World
ECOLAB INC.,ECL,MSCI World
CANADIAN NATURAL RESOURCES LIMITED,CNQ,MSCI World
MUNICH RE,1MUV2.MI,MSCI World
"DOORDASH, INC.",DASH,MSCI World
ANZ GROUP HOLDINGS LIMITED,ANZ.NZ,MSCI World
GLENCORE PLC,GLEN.L,MSCI World
DELL TECHNOLOGIES INC.,DELL,MSCI World
"REGENERON PHARMACEUTICALS, INC.",REGN,MSCI World
"NTT, INC.",3850.T,MSCI World
"CADENCE DESIGN SYSTEMS, INC.",CDNS,MSCI World
BAE SYSTEMS PLC,BA.L,MSCI World
MONSTER BEVERAGE CORPORATION,MNST,MSCI World
CIGNA,CI,MSCI World
BARRICK MINING CORPORATION,B,MSCI World
"O'REILLY AUTOMOTIVE, INC",ORLY,MSCI World
"MONDELEZ INTERNATIONAL, INC.",MDLZ,MSCI World
"ROBINHOOD MARKETS, INC.",HOOD,MSCI World
"APOLLO GLOBAL MANAGEMENT, INC.",APO,MSCI World
VERTIV HOLDINGS CO,VRT,MSCI World
COLGATE-PALMOLIVE COMPANY,CL,MSCI World
OVERSEA-CHINESE BANKING CORPORATION LIMITED,O39.SI,MSCI World
CSX CORPORATION,CSX,MSCI World
SLB N.V.,SLB,MSCI World
MITSUBISHI ELECTRIC CORPORATION,6503.T,MSCI World
"TOKIO MARINE HOLDINGS, INC.",8766.T,MSCI World
"AIRBNB, INC.",ABNB,MSCI World
GENERAL MOTORS COMPANY,GM,MSCI World
CANADIAN PACIFIC KANSAS CITY LIMITED,CP,MSCI World
DEUTSCHE BANK AG,DB,MSCI World
"CENCORA, INC.",COR,MSCI World
"MOTOROLA SOLUTIONS, INC.",MSI,MSCI World
JAPAN TOBACCO INC.,JAPAY,MSCI World
"JAPAN POST BANK CO., LTD.",7182.T,MSCI World
WESFARMERS LIMITED,WFAFY,MSCI World
"REPUBLIC SERVICES, INC.",RSG,MSCI World
NORFOLK SOUTHERN CORPORATION,NSC,MSCI World
NORDEA BANK ABP,NDA-FI.HE,MSCI World
NATWEST GROUP PLC,NWG,MSCI World
"WARNER BROS. DISCOVERY, INC.",WBD,MSCI World
"PACCAR, INC.",PCAR,MSCI World
AON PLC,AON,MSCI World
TE CONNECTIVITY PLC,TEL,MSCI World
"L3HARRIS TECHNOLOGIES, INC.",LHX,MSCI World
CRÉDIT AGRICOLE S.A.,0AHX.L,MSCI World
SOFTBANK CORP.,9984.T,MSCI World
INFINEON TECHNOLOGIES AG,IFX.DE,MSCI World
WHEATON PRECIOUS METALS CORP.,WPM,MSCI World
"AMERICAN ELECTRIC POWER COMPANY, INC.",AEP,MSCI World
BMW AG,BMW.DE,MSCI World
"NINTENDO CO., LTD.",7974.T,MSCI World
ENI S.P.A,E,MSCI World
SEA LIMITED,STX,MSCI World
GENERALI,G.MI,MSCI World
"RECRUIT HOLDINGS CO., LTD.",6098.T,MSCI World
MERCK KGAA,MRK.DE,MSCI World
"AIR PRODUCTS & CHEMICALS, INC.",AP3.DE,MSCI World
"THE TRAVELERS COMPANIES, INC.",TRV,MSCI World
PHILLIPS 66,PSX,MSCI World
"SHIN-ETSU CHEMICAL CO., LTD.",SEH.F,MSCI World
CANADIAN NATIONAL RAILWAY COMPANY,CNI,MSCI World
THALES,HO.PA,MSCI World
"ROSS STORES, INC.",ROST,MSCI World
MARUBENI CORPORATION,8002.T,MSCI World
SINGAPORE TELECOMMUNICATIONS LIMITED,Z74.SI,MSCI World
KDDI CORPORATION,9433.T,MSCI World
CSL LIMITED,CSL,MSCI World
VALERO ENERGY CORPORATION,VLO,MSCI World
"CLOUDFLARE, INC.",NET,MSCI World
VOLKSWAGEN AG,VOW3.DE,MSCI World
MARATHON PETROLEUM CORPORATION,MPC,MSCI World
UCB,UCB,MSCI World
SNOWFLAKE INC.,SNOW,MSCI World
TC ENERGY CORPORATION,TRP,MSCI World
FERRARI N.V.,RACE,MSCI World
HOYA CORPORATION,HOCPY,MSCI World
"DIGITAL REALTY TRUST, INC.",DLR,MSCI World
"BECTON, DICKINSON AND COMPANY",BDX,MSCI World
BAKER HUGHES COMPANY,BKR,MSCI World
"MONOLITHIC POWER SYSTEMS, INC.",MPWR,MSCI World
AFLAC INCORPORATED,AFL,MSCI World
STANDARD CHARTERED PLC,STAN.L,MSCI World
BOC HONG KONG (HOLDINGS) LIMITED,BHKLY,MSCI World
REALTY INCOME CORPORATION,O,MSCI World
KBC GROUPE NV,KDB.HM,MSCI World
LOBLAW COMPANIES LIMITED,L.TO,MSCI World
NXP SEMICONDUCTORS N.V.,NXPI,MSCI World
SEMPRA,SRE,MSCI World
"W.W. GRAINGER, INC.",GWW,MSCI World
ZOETIS INC.,ZTS,MSCI World
EON SE,EONGY,MSCI World
TAKEDA PHARMACEUTICAL COMPANY LIMITED,TAK,MSCI World
"UNITED RENTALS, INC.",URI,MSCI World
IMPERIAL OIL LIMITED,IMO,MSCI World
CARRIER GLOBAL CORPORATION,CARR,MSCI World
ALIMENTATION COUCHE-TARD INC.,ATD.TO,MSCI World
SIEMENS HEALTHINEERS AG,SHL.DE,MSCI World
FORD MOTOR COMPANY,F,MSCI World
BAYER AG,BAYN.DE,MSCI World
"AMETEK, INC.",AME,MSCI World
FASTENAL COMPANY,FAST,MSCI World
"CARDINAL HEALTH, INC.",CAH,MSCI World
RELX PLC,RELX,MSCI World
FERROVIAL SE,FER.MC,MSCI World
ORANGE,ORKT,MSCI World
CAMECO CORPORATION,CCJ,MSCI World
TARGET CORPORATION,RCAX,MSCI World
"ONEOK, INC.",OKE,MSCI World
LONDON STOCK EXCHANGE GROUP PLC,LSEG.L,MSCI World
VISTRA CORP.,VST,MSCI World
SAINT-GOBAIN,COD.L,MSCI World
"CHIPOTLE MEXICAN GRILL, INC.",CMG,MSCI World
ANTOFAGASTA PLC,ANTO.L,MSCI World
"AUTODESK, INC.",ADSK,MSCI World
FERGUSON ENTERPRISES INC.,FERG,MSCI World
ARGENX SE,ARGX,MSCI World
"IDEXX LABORATORIES, INC.",IDXX,MSCI World
BASF SE,BAS.DE,MSCI World
PUBLIC STORAGE,PSA,MSCI World
ERSTE GROUP BANK AG,EBO.DE,MSCI World
UNITED OVERSEAS BANK LIMITED,U11.SI,MSCI World
ELECTRONIC ARTS INC.,EA,MSCI World
DISCO CORPORATION,WBD,MSCI World
"CBRE GROUP, INC.",CBRE,MSCI World
"METLIFE, INC.",MET,MSCI World
NATIONAL BANK OF CANADA,NA.TO,MSCI World
"NASDAQ, INC.",^IXIC,MSCI World
"AMERIPRISE FINANCIAL, INC.",AMP,MSCI World
SUN HUNG KAI PROPERTIES LIMITED,0016.HK,MSCI World
ASSA ABLOY AB,ASAZF,MSCI World
"DELTA AIR LINES, INC.",DAL,MSCI World
HEINEKEN N.V.,HNK1.DE,MSCI World
"TERADYNE, INC.",TER,MSCI World
SUMITOMO CORPORATION,8053.T,MSCI World
COMPASS GROUP PLC,COMP,MSCI World
FRANCO-NEVADA CORPORATION,FNV,MSCI World
HALEON PLC,HLN,MSCI World
"DIAMONDBACK ENERGY, INC.",FANG,MSCI World
ARCELORMITTAL,MT,MSCI World
THE HERSHEY COMPANY,HSY,MSCI World
TARGA RESOURCES CORP.,TRGP,MSCI World
"CHENIERE ENERGY, INC.",LNG,MSCI World
COMMERZBANK AG,CBK.DE,MSCI World
GALDERMA GROUP AG,1GALD.MI,MSCI World
DEUTSCHE BÖRSE AG,DB1.DE,MSCI World
3I GROUP PLC,3ITN.DE,MSCI World
STRATEGY INCORPORATED,MSTR,MSCI World
OCCIDENTAL PETROLEUM CORPORATION,OXY,MSCI World
HESS CORPORATION,HESM,MSCI World
TOYOTA TSUSHO CORPORATION,8015.T,MSCI World
RWE AG,RWE.DE,MSCI World
CARNIVAL CORPORATION,CCL,MSCI World
XCEL ENERGY INC.,XEL,MSCI World
FUJITSU LIMITED,6702.T,MSCI World
SWEDBANK AB,SWED-A.ST,MSCI World
GOODMAN GROUP,0P0001LSLQ.L,MSCI World
EDWARDS LIFESCIENCES CORPORATION,EW,MSCI World
ADYEN N.V.,ADYEY,MSCI World
DR HORTON,DHI,MSCI World
EXELON CORPORATION,EXC,MSCI World
DANSKE BANK A/S,DANSKE.CO,MSCI World
ENTERGY CORPORATION,ETR,MSCI World
KROGER CO. (THE),KR,MSCI World
SWISSCOM AG,SCMN.SW,MSCI World
NUCOR CORPORATION,NUE,MSCI World
LEGRAND,LR.PA,MSCI World
"YUM! BRANDS, INC.",YUM,MSCI World
"WASTE CONNECTIONS, INC.",WCN,MSCI World
DNB BANK ASA,DNB.OL,MSCI World
COCA-COLA EUROPACIFIC PARTNERS PLC,CCEP,MSCI World
VULCAN MATERIALS COMPANY,VMC,MSCI World
KOMATSU LTD.,6301.T,MSCI World
ENSKILDA BANKEN,SEBA.F,MSCI World
UNIVERSAL MUSIC GROUP N.V.,0VD0.DU,MSCI World
PORSCHE AG,P911.DE,MSCI World
"ALNYLAM PHARMACEUTICALS, INC.",ALNY,MSCI World
SCHINDLER HOLDING AG,SHRQ.F,MSCI World
"MARTIN MARIETTA MATERIALS, INC.",MLM,MSCI World
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,WAB,MSCI World
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",SMO.F,MSCI World
SYSCO CORPORATION,SYY,MSCI World
SSE PLC,SSE.V,MSCI World
"MSCI, INC.",MSCI,MSCI World
KINROSS GOLD CORPORATION,KGC,MSCI World
"HONDA MOTOR CO., LTD.",HMC,MSCI World
ASM INTERNATIONAL N.V.,AVS.DE,MSCI World
WORKDAY INC.,WDAY,MSCI World
"PUBLIC SERVICE ENTERPRISE GROUP, INC.",PEG,MSCI World
"KEYSIGHT TECHNOLOGIES, INC.",KEYS,MSCI World
"AMERICAN INTERNATIONAL GROUP, INC.",AIG,MSCI World
SAAB AB,SDV1.F,MSCI World
"MICROCHIP TECHNOLOGY, INC.",MCHP,MSCI World
"RESMED, INC.",RMD,MSCI World
"DATADOG, INC.",DDOG,MSCI World
GREAT-WEST LIFECO INC.,GWO.TO,MSCI World
THOMSON REUTERS CORPORATION,TRI,MSCI World
"MS&AD INSURANCE GROUP HOLDINGS, INC.",8725.T,MSCI World
GARMIN LTD.,GRMN,MSCI World
"AEON CO., LTD.",AONNY,MSCI World
CENOVUS ENERGY INC.,CVE,MSCI World
"ENDESA, S.A.",ELE.MC,MSCI World
EBAY INC.,EBAY,MSCI World
DAIMLER TRUCK HOLDING AG,DTG.DE,MSCI World
TESCO PLC,TSCO.L,MSCI World
"COPART, INC.",CPRT,MSCI World
TELSTRA GROUP LIMITED,TLS.AX,MSCI World
INGERSOLL RAND INC.,IR,MSCI World
KEURIG DR PEPPER INC.,KDP,MSCI World
HEICO CORPORATION,HEI,MSCI World
"HARTFORD FINANCIAL SERVICES GROUP (THE), INC.",HIG,MSCI World
NEC CORPORATION,NECB,MSCI World
CONSTELLATION SOFTWARE INC.,CSU.TO,MSCI World
ALCON INC.,ALC,MSCI World
LAS VEGAS SANDS CORP.,LVS,MSCI World
"MURATA MANUFACTURING CO., LTD.",MUR1.F,MSCI World
TOYOTA INDUSTRIES CORPORATION,6201.T,MSCI World
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,MSCI World
KERING,KER.PA,MSCI World
"PAYPAL HOLDINGS, INC.",PYPL,MSCI World
